x,y,yaw,velocities
-3.7377134,3.9456497,-1.3343327929299966,5.2683654
-3.5057371,2.9829793,-1.1921550250303794,5.1690224
-3.1400291,2.0637411,-1.006790849687244,4.9901179
-2.6116867,1.2284746,-0.8029421402729398,4.7979869
-1.9258078,0.5180973,-0.6123175657661742,4.6887581
-1.1182204,-0.0491312,-0.4424232605394787,4.6602264
-0.2248084,-0.47238,-0.28662207019056174,4.6584271
0.7261845,-0.7526735,-0.12449171223597649,4.6335554
1.7201979,-0.8770632,0.04983610698766771,4.5184461
2.7055258,-0.8279176,0.24673099405596557,4.2356659
3.6641768,-0.5864692,0.6773495138295735,3.7179751
4.415595,0.0178867,1.7325495170642595,2.9347024
4.2732431,0.8902542,2.6684531944827543,2.3734515
3.3729139,1.3511523,2.811108115814577,3.0582932
2.4365437,1.6723894,2.7949016558373705,3.4805111
1.4990055,2.0111061,2.7276940920803487,3.8028718
0.5697165,2.4193187,2.62829813259583,3.7049906
-0.2822354,2.8995572,1.0223388333047592,2.9864457
0.1033838,3.5307008,0.2859411482114589,2.2511745
1.0876656,3.8200775,0.3531665835711527,3.0773387
2.031578,4.1680236,0.3600992812742661,3.566321
2.9646818,4.5193523,0.4615210001666492,3.9967411
3.845251,4.9572986,0.6720341859859057,4.2037439
4.6184535,5.5724357,0.9093783322891422,4.3614817
5.2112935,6.3340693,1.043349181291146,4.5190155
5.7109337,7.1918312,1.130417789130374,4.6539813
6.1350703,8.0918691,1.2031351917248483,4.7614594
6.4943283,9.0245831,1.2767301886190263,4.8382659
6.7837115,9.9801275,1.361612911138664,4.8780745
6.9894496,10.9492695,1.4729752225246209,4.8546566
7.0870647,11.9439786,1.644261440764554,4.7189837
7.0138218,12.9391596,1.9354782552232463,4.3811651
6.6605184,13.8646249,2.363463868783231,3.9088263
5.9709215,14.5442681,2.9525793479045883,3.5012188
5.0546173,14.7195542,-2.588301098311286,2.7017712
4.2299328,14.2101934,-2.1369866746554407,2.9870918
3.7002383,13.3768252,-1.8852519618370538,3.2762048
3.3907297,12.4252154,-1.7674857403447375,3.5962142
3.1946468,11.4411881,-1.739374352207439,3.9219271
3.028197,10.4631837,-1.803466931154916,4.2431122
2.7968078,9.486702,-1.9870021905103459,4.235829
2.3919263,8.5707415,-2.469912581195681,3.6268209
1.6241942,7.9604003,2.883942275166991,2.5374613
0.7712331,8.1851617,2.1551236885248444,2.7340903
0.2192842,9.0197144,1.719991952321725,2.8959926
0.073694,9.9882974,1.5357823278533016,3.2252075
0.1083731,10.9783279,1.4779813506558377,3.5667894
0.2015929,11.9798038,1.508862159185958,3.9080956
0.2631823,12.9729653,1.6302307248961714,4.1786442
0.2046553,13.9565383,1.871466992236657,4.1254163
-0.089957,14.9066822,2.276261908634024,3.6529914
-0.7208835,15.647489,2.846347254180587,2.7677411
-1.6410155,15.9273327,-2.7182675510925405,2.9429187
-2.5320183,15.5258765,-2.2231878525287208,2.9884839
-3.1274708,14.746473,-1.905577527813587,3.2871656
-3.4512199,13.8158274,-1.7643088553480089,3.5938232
-3.6429325,12.837526,-1.6877370150659186,3.8896691
-3.7587851,11.8513507,-1.649544340642635,4.1748696
-3.8367145,10.8637925,-1.6274036917003916,4.436488
-3.8929131,9.8720742,-1.6119916367357148,4.6616311
-3.9337948,8.8802484,-1.596897565643238,4.8573334
-3.9596526,7.8898001,-1.57672982865989,5.0215528
-3.9655216,6.9006825,-1.5466724441644624,5.151313
-3.9416746,5.9123518,-1.5012738233707104,5.2419631
-3.8729784,4.9258297,-1.4336623149854864,5.2866309
-3.7377134,3.9456497,-1.4336623149854864,5.2683654
