s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, -1.6820524, -14.0065903, -2.3417566, 0.5029633, 3.9579801, -1.5090818
0.9937768, -0.8242537, -14.5047644, -1.8555726, 0.4791992, 3.5589641, -0.8581175
1.9875536, 0.1540453, -14.5727878, -1.4292702, 0.4883574, 3.3106903, -0.4562917
2.9813304, 1.0513325, -14.1865742, -0.8719249, 0.6168710, 3.1707675, 0.5885433
3.9751073, 1.6155820, -13.3848667, -0.3894590, 0.3914585, 3.3501534, 0.7170854
4.9688841, 1.8422385, -12.4164507, -0.0971738, 0.2235883, 3.5565114, 0.9369536
5.9626609, 1.8510398, -11.4256752, 0.0602245, 0.1065012, 3.8093331, 1.1551127
6.9564377, 1.7526328, -10.4345431, 0.1237823, 0.0233214, 4.0996179, 1.0755902
7.9502145, 1.6304632, -9.4391022, 0.1059975, -0.0632346, 4.3525464, 0.2102633
8.9439913, 1.5743389, -8.4399878, -0.0126702, -0.1769235, 4.4002920, -1.1541875
9.9377682, 1.7011794, -7.4543416, -0.2711683, -0.3344744, 4.1314115, -1.9816138
10.9315450, 2.1486131, -6.5743641, -0.7089065, -0.5619179, 3.6235338, -3.0854493
11.9253218, 2.9778885, -6.0914794, -1.4426672, -0.9484164, 2.6452790, 0.4162682
12.9190986, 3.9007843, -6.3470762, -2.1242878, -0.4938066, 2.7972945, 0.6085679
13.9128754, 4.5727838, -7.0526555, -2.6197936, -0.4255143, 3.0057308, 1.0479955
14.9066522, 4.8979268, -7.9854575, -2.9622757, -0.2542237, 3.3342713, 1.2556622
15.9004291, 4.9727067, -8.9753647, 3.1360187, -0.1198575, 3.6895882, 1.3254195
16.8942059, 4.9220310, -9.9804300, 3.0605148, -0.0343829, 4.0308068, 1.2581839
17.8879827, 4.8348009, -10.9809595, 3.0598297, 0.0346870, 4.3299089, 0.4498416
18.8817595, 4.7874248, -11.9774297, -3.1355967, 0.1521635, 4.4319517, -1.1209363
19.8755363, 4.8949406, -12.9890056, -2.9103568, 0.3277538, 4.1730414, -2.4582548
20.8693131, 5.3049373, -13.8579825, -2.5086851, 0.1107825, 3.5395425, -4.3402059
21.8630900, 6.0212100, -14.3892637, -1.5297662, 1.0642824, 1.9753403, 1.8557304
22.8568668, 6.9119287, -13.9576283, -0.7707122, 0.5547673, 2.7550559, 0.6313339
23.8506436, 7.4170819, -13.1002344, -0.3264987, 0.3311529, 2.9740785, 1.4235734
24.8444204, 7.6160858, -12.1219251, -0.1079132, 0.1394567, 3.4168072, 1.3813134
25.8381972, 7.6671300, -11.1279324, -0.0067661, 0.0674790, 3.7973683, 1.4413523
26.8319740, 7.6469194, -10.1335895, 0.0409644, 0.0285101, 4.1574958, 1.3637474
27.8257509, 7.5960056, -9.1390203, 0.0585474, 0.0095431, 4.4716096, 1.2211605
28.8195277, 7.5352847, -8.1464536, 0.0621839, -0.0001952, 4.7352311, 1.0477420
29.8133045, 7.4748319, -7.1555011, 0.0586146, -0.0066557, 4.9502381, 0.8706634
30.8070813, 7.4208476, -6.1651931, 0.0498971, -0.0090100, 5.1220453, 0.6796932
31.8008581, 7.3753758, -5.1743011, 0.0427851, -0.0026469, 5.2522637, 0.4497919
32.7946349, 7.3320059, -4.1817706, 0.0471527, 0.0140620, 5.3366900, 0.1711016
33.7884117, 7.2740384, -3.1881057, 0.0737329, 0.0415734, 5.3684573, -0.1844716
34.7821886, 7.1737137, -2.1979232, 0.1350862, 0.0833304, 5.3341997, -0.6817834
35.7759654, 6.9904763, -1.2218375, 0.2462632, 0.1451315, 5.2056321, -1.3632148
36.7697422, 6.6660448, -0.2840450, 0.4373807, 0.2493235, 4.9385365, -1.8672586
37.7635190, 6.1245879, 0.5453456, 0.7387802, 0.3564323, 4.5472921, -0.9627474
38.7572958, 5.3517920, 1.1463686, 1.0712055, 0.3059797, 4.3317841, -0.0033510
39.7510726, 4.4373333, 1.4983278, 1.3178750, 0.2075170, 4.3310153, 0.2652152
40.7448495, 3.4532350, 1.6550870, 1.4989627, 0.1540231, 4.3914488, 0.2033763
41.7386263, 2.4474669, 1.6550478, 1.6391632, 0.1334802, 4.4372339, -0.0498481
42.7324031, 1.4621717, 1.5184660, 1.7821326, 0.1589530, 4.4260556, -1.2375155
43.7261799, 0.4849719, 1.2286438, 1.9304320, 0.1365112, 4.1388815, -1.9972058
44.7199567, -0.4135485, 0.8250328, 2.0241222, -0.0650935, 3.6277798, -2.8361212
45.7137335, -1.1604092, 0.2796873, 3.0867142, 3.0590143, 2.7429625, -2.0526312
46.7075104, -0.5479841, -0.3842800, -1.7222456, 1.1269663, 1.8558364, 2.4758211
47.7012872, 0.4636076, -0.3066126, -1.4839231, -0.2410368, 2.8922234, 1.5430017
48.6950640, 1.4508184, -0.3140626, -1.6509210, -0.1079017, 3.3810878, 0.3049910
49.6888408, 2.4659137, -0.4447695, -1.7530406, -0.1342812, 3.4695735, -0.6840385
50.6826176, 3.4509581, -0.7297286, -1.9863161, -0.3344667, 3.2677787, -3.2189118
51.6763944, 4.1227881, -1.3461186, -3.1396896, -3.8925939, 2.0689653, 1.7870001
52.6701713, 3.4779811, -1.9737842, 2.1550152, -0.1277480, 2.7986382, 1.2464615
53.6639481, 2.5804544, -2.4811125, 2.0207329, -0.0871246, 3.2108854, 1.5625468
54.6577249, 1.6548464, -2.8991480, 1.9855398, 0.0093272, 3.6627081, 1.7240340
55.6515017, 0.7630811, -3.3122524, 2.0430057, 0.1331213, 4.1039055, 0.7081579
56.6452785, -0.0916694, -3.8527273, 2.2697713, 0.3931267, 4.2719483, 0.1954012
57.6390553, -0.7117522, -4.5925731, 2.5802879, 0.1827181, 4.3171649, 0.5530427
58.6328322, -1.1722632, -5.4530482, 2.7072880, 0.0947802, 4.4426473, 0.6274317
59.6266090, -1.5557508, -6.3780614, 2.7855755, 0.0669513, 4.5808481, 0.6042110
60.6203858, -1.8755496, -7.3281184, 2.8465019, 0.0564154, 4.7101030, 0.5247164
61.6141626, -2.1391336, -8.2894554, 2.9011544, 0.0544746, 4.8195407, 0.3717217
62.6079394, -2.3484489, -9.2617589, 2.9597212, 0.0648074, 4.8955888, 0.1774991
63.6017162, -2.4945751, -10.2514795, 3.0337921, 0.0857232, 4.9314885, -0.1119975
64.5954930, -2.5540610, -11.2462119, 3.1362710, 0.1245757, 4.9088672, -0.5779697
65.5892699, -2.4881734, -12.2329152, -2.9910236, 0.1966736, 4.7904313, -1.4453933
66.5830467, -2.2288358, -13.1848474, -2.7385976, 0.3279565, 4.4805619, -2.2187220
67.5768235, -1.6820524, -14.0065903, -2.3417566, 0.5029633, 3.9579801, -1.5090818
